YEAR,NMFS_AREA,GEAR,SPECIES_CODE,LENGTH,SEX,FREQUENCY,SAMPLE_SYSTEM
2009,542,8,326,42,M,1,2
2009,523,8,326,65,M,1,2
2009,542,8,326,50,M,1,2
2009,542,8,326,51,M,1,2
2009,542,8,326,53,M,1,2
2009,542,8,326,56,M,1,2
2009,542,8,326,51,F,1,2
2009,542,8,326,54,F,1,2
2009,542,8,326,46,F,1,2
2009,542,8,326,45,M,2,2
2009,542,8,326,44,F,1,2
2009,542,8,326,47,F,1,2
2009,542,8,326,40,F,1,2
2009,542,8,326,45,F,1,2
2009,542,8,326,48,M,1,2
2011,541,1,326,67,M,1,10
2014,523,8,326,63,F,1,10
2014,523,8,326,71,M,1,10
2014,523,8,326,68,F,1,10
2016,542,8,326,73,M,1,10
2016,542,8,326,71,M,1,10
2016,542,8,326,67,F,1,10
2016,542,8,326,82,M,1,10
2016,542,8,326,62,M,1,10
2016,542,8,326,75,M,1,10
2016,542,8,326,73,M,1,10
2016,542,8,326,70,M,1,10
2016,542,8,326,72,F,1,10
2017,541,8,326,48,F,1,5
2017,541,8,326,42,M,1,10
2017,541,8,326,41,M,1,10
2010,521,8,326,60,F,1,5
2010,521,8,326,53,F,3,5
2010,521,8,326,49,F,1,5
2010,521,8,326,61,F,1,5
2010,521,8,326,56,F,1,5
2010,521,8,326,62,F,1,5
2010,521,8,326,58,M,2,5
2010,521,8,326,57,M,2,5
2010,521,8,326,46,M,1,5
2010,521,8,326,52,M,1,5
2010,521,8,326,51,M,1,5
2010,521,8,326,40,M,1,5
2014,521,8,326,75,F,1,10
2014,523,8,326,65,M,1,10
2014,523,8,326,69,M,1,10
2014,523,8,326,109,F,1,10
2014,523,8,326,64,F,2,10
2014,523,8,326,71,F,2,5
2014,523,8,326,73,M,1,5
2014,523,8,326,68,F,1,5
2014,523,8,326,70,F,1,5
2014,523,8,326,78,F,1,5
2014,523,8,326,66,M,1,5
2010,542,8,326,46,M,1,6
2010,542,8,326,47,M,1,6
2010,542,8,326,51,M,1,6
2010,542,8,326,53,M,1,6
2010,542,8,326,55,M,2,6
2010,542,8,326,62,M,1,6
2010,542,8,326,69,M,1,6
2010,542,8,326,75,M,1,6
2010,542,8,326,47,F,1,6
2010,542,8,326,52,F,1,6
2010,542,8,326,53,F,1,6
2010,542,8,326,54,F,1,6
2010,542,8,326,63,F,1,6
2010,542,8,326,66,F,1,6
2014,523,8,326,59,M,1,5
2014,523,8,326,60,M,1,5
2014,523,8,326,66,M,1,5
2014,523,8,326,64,F,1,5
2014,523,8,326,72,F,1,5
2014,523,8,326,73,F,1,5
2014,523,8,326,69,U,1,10
2015,517,8,326,39,M,1,10
2021,542,1,326,75,M,1,10
2021,542,1,326,56,M,1,10
2010,521,8,326,69,F,1,5
2010,521,8,326,73,M,1,5
2010,517,8,326,64,F,1,5
2010,517,8,326,71,F,1,5
2010,521,8,326,69,F,1,5
2010,521,8,326,77,F,1,5
2010,521,8,326,64,F,1,5
2013,541,8,326,56,M,1,10
2014,523,8,326,61,F,1,5
2014,523,8,326,54,M,1,9
2008,517,1,326,36,M,1,2
2008,517,1,326,42,M,1,2
2008,517,1,326,54,M,1,2
2008,517,1,326,65,M,1,2
2008,517,1,326,72,M,1,2
2008,517,1,326,74,M,1,2
2008,517,1,326,75,M,1,2
2008,517,1,326,82,M,1,2
2008,517,1,326,37,F,1,2
2008,517,1,326,42,F,1,2
2008,517,1,326,44,F,1,2
2008,517,1,326,53,F,1,2
2008,517,1,326,54,F,1,2
2008,517,1,326,56,F,1,2
2008,517,1,326,58,F,1,2
2008,517,1,326,61,F,1,2
2008,517,1,326,62,F,1,2
2008,517,1,326,63,F,1,2
2008,517,1,326,66,F,1,2
2011,542,8,326,51,M,1,9
2011,542,8,326,54,M,1,9
2011,542,8,326,63,M,1,9
2011,542,8,326,36,F,1,9
2011,542,8,326,41,F,1,9
2011,542,8,326,50,F,1,9
2011,542,8,326,52,M,1,9
2011,542,8,326,54,M,1,9
2011,542,8,326,55,M,2,9
2011,542,8,326,61,M,1,9
2011,542,8,326,46,F,1,9
2011,542,8,326,42,M,1,9
2011,542,8,326,43,M,1,9
2011,542,8,326,47,M,1,9
2011,542,8,326,44,F,2,9
2011,542,8,326,46,F,1,9
2011,542,8,326,53,F,1,9
2010,518,8,326,37,F,1,10
2010,518,8,326,40,F,1,10
2010,518,8,326,42,F,1,10
2010,518,8,326,56,F,1,10
2010,518,8,326,46,M,1,10
2020,541,6,326,45,F,1,10
2012,521,1,326,44,M,1,10
2012,521,1,326,77,M,1,10
2012,521,1,326,69,F,1,10
2012,521,1,326,84,F,1,10
2012,523,1,326,44,M,1,6
2012,523,1,326,54,M,1,6
2012,523,1,326,57,M,1,6
2012,523,1,326,58,M,1,6
2012,523,1,326,75,M,1,6
2012,523,1,326,47,F,1,6
2012,523,1,326,50,F,1,6
2012,523,1,326,56,F,1,6
2010,521,8,326,72,F,1,5
2010,521,8,326,74,F,1,5
2010,521,8,326,89,F,1,5
2020,542,6,326,52,M,1,10
2020,542,6,326,49,F,1,10
2020,542,6,326,59,F,1,10
2011,541,1,326,49,M,1,10
2011,541,1,326,46,M,1,10
2011,541,1,326,52,F,1,10
2011,541,1,326,58,M,1,10
2011,541,1,326,58,F,1,10
2010,542,1,326,28,M,1,10
2010,542,1,326,34,M,1,10
2010,542,1,326,46,M,1,10
2010,542,1,326,52,M,1,10
2010,542,1,326,43,F,1,10
2012,518,1,326,56,F,1,6
2012,518,1,326,58,F,1,6
2012,518,1,326,60,F,1,6
2012,518,1,326,29,F,1,6
2012,518,1,326,45,M,1,6
2012,518,1,326,49,M,1,6
2012,518,1,326,51,M,1,6
2012,518,1,326,52,M,1,6
2012,518,1,326,54,M,1,6
2012,518,1,326,55,M,1,6
2012,518,1,326,58,M,1,6
2012,518,1,326,61,M,1,6
2012,518,1,326,66,M,1,6
2012,518,1,326,69,M,1,6
2012,518,1,326,44,F,1,6
2012,518,1,326,47,F,1,6
2012,518,1,326,50,F,1,6
2012,518,1,326,51,F,3,6
2012,519,1,326,51,F,1,10
2008,541,6,326,49,M,1,2
2008,541,6,326,33,M,1,2
2016,542,1,326,42,M,1,10
2016,542,1,326,46,M,1,10
2016,542,1,326,56,M,1,10
2016,542,1,326,65,M,1,10
2016,542,1,326,71,M,1,10
2016,542,1,326,46,F,1,10
2016,542,1,326,55,F,1,10
2016,542,1,326,56,F,1,10
2016,542,1,326,60,F,1,10
2016,542,1,326,58,M,1,10
2016,542,1,326,45,F,1,10
2008,521,8,326,62,M,1,2
2008,521,8,326,70,M,1,2
2008,521,8,326,53,F,1,2
2008,521,8,326,56,F,1,2
2008,521,8,326,61,F,1,2
2008,521,8,326,63,F,1,2
2008,521,8,326,66,F,2,2
2008,521,8,326,67,F,1,2
2008,521,8,326,77,F,1,2
2012,521,8,326,81,F,1,10
2012,521,8,326,58,M,2,5
2012,521,8,326,63,M,1,5
2012,521,8,326,78,M,1,5
2012,521,8,326,81,M,1,5
2012,521,8,326,85,M,1,5
2012,521,8,326,92,M,1,5
2012,521,8,326,52,M,1,10
2012,521,8,326,75,M,1,10
2011,517,1,326,91,F,1,10
2012,521,8,326,77,M,1,10
2012,523,8,326,68,M,1,10
2012,521,8,326,53,F,1,5
2012,521,8,326,57,F,1,5
2012,521,8,326,67,F,1,5
2012,521,8,326,72,F,1,5
2012,521,8,326,80,F,1,5
2012,521,8,326,90,F,1,5
2011,517,1,326,74,M,1,10
2011,517,1,326,62,F,1,10
2011,517,1,326,85,M,1,10
2011,517,1,326,58,M,1,10
2011,523,8,326,37,M,1,10
2011,523,8,326,85,F,1,10
2011,523,8,326,41,F,1,10
2011,523,8,326,38,M,1,10
2009,543,1,326,44,M,1,2
2009,543,1,326,47,M,1,2
2009,543,1,326,51,M,1,2
2009,543,1,326,46,F,1,2
2009,543,1,326,47,F,2,2
2009,543,1,326,49,F,1,2
2009,543,1,326,50,F,1,2
2009,543,1,326,50,F,1,2
2009,543,1,326,43,F,1,2
2009,543,1,326,46,F,1,2
2009,543,1,326,47,F,1,2
2009,543,1,326,50,F,1,2
2009,543,1,326,52,F,1,2
2009,543,1,326,45,F,1,2
2009,543,1,326,46,F,1,2
2009,543,1,326,49,F,2,2
2009,543,1,326,43,F,1,2
2009,543,1,326,44,F,1,2
2009,543,1,326,45,F,1,2
2009,543,1,326,46,F,2,2
2009,543,1,326,49,F,1,2
2009,541,8,326,35,M,1,2
2009,541,8,326,59,M,1,2
2009,541,8,326,45,F,1,2
2009,541,8,326,38,F,1,2
2009,541,8,326,42,M,1,2
2009,541,8,326,34,M,1,2
2009,541,8,326,45,M,1,2
2009,541,8,326,38,F,1,2
2009,541,8,326,42,F,1,2
2009,541,8,326,47,F,1,2
2009,541,8,326,39,M,1,2
2009,541,8,326,52,M,1,2
2009,541,8,326,49,F,1,2
2009,541,8,326,44,M,1,2
2009,541,8,326,37,F,1,2
2009,541,8,326,52,F,1,2
2009,541,8,326,35,M,1,2
2009,541,8,326,48,M,1,2
2009,541,8,326,38,F,1,2
2009,541,8,326,43,F,1,2
2009,541,8,326,54,F,1,2
2011,541,8,326,34,F,1,5
2011,541,8,326,31,F,2,5
2011,541,8,326,48,F,1,5
2012,523,8,326,57,M,2,6
2012,523,8,326,68,M,1,6
2012,523,8,326,75,M,1,6
2012,523,8,326,56,F,1,6
2012,523,8,326,70,F,1,6
2012,521,8,326,84,M,1,10
2012,521,8,326,67,F,1,10
2012,521,8,326,69,F,1,10
2012,521,8,326,76,F,1,10
2011,541,8,326,38,M,1,10
2011,541,8,326,38,F,1,10
2011,541,8,326,41,F,2,10
2011,542,8,326,37,M,1,5
2011,542,8,326,42,M,1,5
2011,542,8,326,55,M,2,5
2011,542,8,326,59,M,1,5
2011,542,8,326,58,F,1,5
2011,542,8,326,60,F,2,5
2008,541,6,326,34,F,1,2
2008,541,6,326,48,M,1,2
2009,542,8,326,83,F,1,2
2012,542,1,326,47,F,1,10
2012,542,1,326,48,F,1,10
2012,543,1,326,47,M,1,6
2012,543,1,326,51,M,1,6
2012,543,1,326,53,M,1,6
2012,543,1,326,60,M,1,6
2012,543,1,326,62,M,1,6
2012,543,1,326,64,M,1,6
2012,543,1,326,68,M,1,6
2012,543,1,326,36,F,1,6
2012,543,1,326,47,F,1,6
2012,543,1,326,52,F,1,6
2012,543,1,326,53,F,1,6
2012,543,1,326,58,F,1,6
2012,543,1,326,59,F,2,6
2012,543,1,326,60,F,1,6
2012,543,1,326,65,F,1,6
2012,543,1,326,79,F,1,6
2012,543,1,326,55,F,1,6
2012,543,1,326,30,F,1,10
2008,521,8,326,42,F,1,2
2008,521,8,326,44,F,1,2
2009,518,6,326,37,M,1,2
2008,521,8,326,70,M,1,2
2008,521,8,326,66,M,1,2
2008,521,8,326,69,M,1,2
2008,521,8,326,63,F,1,2
2008,521,8,326,64,M,1,2
2008,521,8,326,72,M,1,2
2008,521,8,326,75,M,1,2
2008,521,8,326,82,M,1,2
2008,521,8,326,67,F,1,2
2008,521,8,326,72,F,1,2
2008,521,8,326,76,F,1,2
2008,521,8,326,89,F,1,2
2011,517,8,326,54,F,1,10
2009,518,6,326,35,F,1,2
2009,518,6,326,42,M,1,2
2009,518,6,326,38,M,1,2
2008,521,8,326,69,M,1,2
2008,521,8,326,51,F,1,2
2008,521,8,326,70,F,1,2
2008,521,8,326,77,F,1,2
2008,521,8,326,63,M,1,2
2008,521,8,326,71,F,1,2
2008,521,8,326,53,F,1,2
2009,523,8,326,75,F,1,2
2009,523,8,326,76,F,1,2
2009,523,8,326,73,F,1,2
2009,523,8,326,72,F,1,2
2009,523,8,326,76,M,1,2
2009,523,8,326,67,M,1,2
2009,523,8,326,70,M,1,2
2014,521,8,326,42,F,1,5
2014,521,8,326,50,F,1,5
2014,521,8,326,55,F,1,5
2014,521,8,326,60,F,1,5
2014,521,8,326,64,F,1,5
2014,521,8,326,66,F,2,5
2014,521,8,326,69,F,1,5
2014,521,8,326,79,F,1,5
2014,521,8,326,84,F,1,5
2014,521,8,326,89,F,2,5
2014,521,8,326,93,F,1,5
2014,521,8,326,60,M,1,5
2014,521,8,326,62,M,1,5
2009,523,8,326,80,U,1,2
2011,542,8,326,45,F,1,5
2011,542,8,326,31,F,1,5
2011,542,8,326,30,U,1,5
2011,542,8,326,33,U,1,5
2011,542,8,326,39,M,1,5
2011,542,8,326,51,M,1,5
2011,542,8,326,30,F,1,5
2011,542,8,326,31,F,1,5
2011,542,8,326,34,F,1,5
2009,542,8,326,39,F,1,2
2009,542,8,326,53,F,1,2
2009,542,8,326,42,M,1,2
2009,542,8,326,46,M,1,2
2009,542,8,326,43,M,1,2
2009,542,8,326,44,F,1,2
2009,542,8,326,52,F,1,2
2009,542,8,326,53,M,1,2
2009,542,8,326,49,M,1,2
2009,542,8,326,43,F,1,2
2011,542,8,326,32,U,2,5
2011,542,8,326,33,U,2,5
2011,542,8,326,35,M,1,5
2011,542,8,326,33,F,1,5
2011,542,8,326,32,F,2,5
2011,521,8,326,59,M,2,10
2011,521,8,326,75,M,1,10
2011,521,8,326,62,M,1,10
2011,521,8,326,66,M,1,10
2011,521,8,326,87,F,1,10
2011,521,8,326,65,F,1,10
2011,521,8,326,64,F,2,10
2011,521,8,326,69,F,1,10
2011,521,8,326,48,F,1,10
2011,521,8,326,56,F,1,10
2011,521,8,326,83,F,1,10
2011,521,8,326,55,F,1,10
2011,521,8,326,74,M,1,10
2009,542,8,326,50,M,1,2
2009,542,8,326,48,M,1,2
2009,542,8,326,50,M,1,2
2009,542,8,326,60,M,1,2
2009,542,8,326,56,M,1,2
2009,542,8,326,45,M,1,2
2009,542,8,326,47,M,1,2
2009,542,8,326,44,F,1,2
2009,541,8,326,48,M,1,2
2009,541,8,326,55,M,1,2
2009,541,8,326,48,F,1,2
2009,541,8,326,47,F,1,2
2009,541,8,326,61,F,1,2
2009,542,8,326,57,M,1,2
2009,542,8,326,51,M,1,2
2009,542,8,326,61,F,2,2
2009,542,8,326,60,F,1,2
2019,521,8,326,43,F,1,5
2019,521,8,326,51,F,1,5
2019,521,8,326,57,F,1,5
2019,521,8,326,51,M,1,5
2019,521,8,326,56,M,1,5
2019,521,8,326,61,M,1,5
2019,521,8,326,66,M,1,5
2009,542,8,326,45,M,1,2
2009,542,8,326,46,M,2,2
2009,542,8,326,39,F,1,2
2009,542,8,326,42,F,1,2
2009,542,8,326,63,M,1,2
2009,542,8,326,56,M,1,2
2009,542,8,326,56,M,1,2
2009,542,8,326,58,M,1,2
2009,542,8,326,44,F,1,2
2009,542,8,326,55,F,1,2
2009,542,8,326,49,F,1,2
2009,542,8,326,44,F,1,2
2009,542,8,326,47,F,1,2
2009,542,8,326,57,F,1,2
2009,542,8,326,51,M,1,2
2009,542,8,326,45,M,1,2
2009,542,8,326,45,M,1,2
2009,542,8,326,45,F,1,2
2009,542,8,326,47,M,2,2
2009,542,8,326,41,M,1,2
2009,542,8,326,38,M,1,2
2009,542,8,326,43,M,1,2
2009,542,8,326,45,M,1,2
2009,542,8,326,41,M,1,2
2009,542,8,326,44,F,1,2
2009,542,8,326,49,M,1,2
2009,542,8,326,42,F,1,2
2009,542,8,326,56,F,1,2
2009,542,8,326,42,M,1,2
2009,542,8,326,49,M,1,2
2009,542,8,326,65,F,1,2
2009,542,8,326,44,F,2,2
2009,542,8,326,41,M,1,2
2009,542,8,326,49,F,2,2
2009,542,8,326,44,F,1,2
2009,542,8,326,47,F,1,2
2009,542,8,326,64,F,1,2
2009,542,8,326,44,M,1,2
2009,542,8,326,44,M,1,2
2009,542,8,326,44,F,1,2
2009,542,8,326,40,F,1,2
2009,542,8,326,48,M,1,2
2009,542,8,326,47,M,1,2
2009,542,8,326,49,M,1,2
2009,542,8,326,39,M,1,2
2008,521,8,326,62,M,1,2
2008,521,8,326,81,M,1,2
2008,521,8,326,69,F,1,2
2008,542,1,326,46,F,1,2
2008,542,1,326,65,F,1,2
2008,541,1,326,41,F,1,2
2008,523,8,326,51,F,1,2
2008,523,8,326,55,F,1,2
2008,523,8,326,67,F,2,2
2008,523,8,326,66,F,1,2
2008,523,8,326,54,F,1,2
2008,523,8,326,49,M,1,2
2008,523,8,326,58,M,1,2
2008,523,8,326,62,M,1,2
2008,523,8,326,65,M,1,2
2009,518,6,326,45,F,1,2
2008,523,8,326,49,F,1,2
2008,523,8,326,50,F,1,2
2008,523,8,326,56,F,1,2
2008,523,8,326,60,F,1,2
2008,523,8,326,58,M,2,2
2008,523,8,326,60,M,2,2
2008,523,8,326,71,M,1,2
2008,523,8,326,58,F,1,2
2008,523,8,326,59,M,1,2
2011,542,8,326,58,M,2,10
2011,542,8,326,58,F,1,10
2011,542,8,326,64,F,1,10
2011,542,8,326,59,M,1,10
2011,542,8,326,36,F,1,10
2011,542,8,326,52,M,1,5
2011,542,8,326,53,M,2,5
2011,542,8,326,56,M,1,5
2011,542,8,326,59,M,1,5
2011,542,8,326,61,M,1,5
2011,542,8,326,62,M,2,5
2011,542,8,326,67,M,2,5
2011,542,8,326,42,F,1,5
2011,542,8,326,48,F,1,5
2011,542,8,326,55,F,1,5
2011,542,8,326,57,F,1,5
2011,542,8,326,58,F,1,5
2011,542,8,326,62,F,1,5
2011,542,8,326,63,F,1,5
2011,542,8,326,68,F,1,5
2011,542,8,326,73,F,1,5
2010,521,8,326,41,F,1,10
2010,521,8,326,64,F,1,9
2010,521,8,326,59,F,1,10
2010,521,8,326,92,F,1,10
2010,521,8,326,55,F,1,10
2010,521,8,326,61,M,1,10
2010,521,8,326,60,F,1,10
2010,521,8,326,78,F,1,10
2010,521,8,326,74,F,1,10
2010,521,8,326,84,M,1,10
2010,521,8,326,67,M,1,10
2010,521,8,326,73,F,1,10
2010,521,8,326,62,F,1,10
2010,521,8,326,66,M,1,10
2010,521,8,326,90,F,1,10
2010,521,8,326,69,F,1,10
2010,521,8,326,65,F,1,10
2009,521,8,326,70,M,1,2
2009,521,8,326,57,M,1,2
2009,521,8,326,59,M,1,2
2009,521,8,326,63,F,1,2
2010,521,8,326,53,M,1,10
2010,521,8,326,69,M,1,10
2010,521,8,326,76,M,1,10
2010,521,8,326,57,F,1,10
2010,521,8,326,69,F,1,10
2009,521,8,326,52,M,2,2
2008,543,8,326,54,M,1,2
2008,521,8,326,56,M,1,2
2008,521,8,326,66,M,1,2
2015,543,8,326,58,F,1,10
2015,543,8,326,59,F,1,10
2015,543,8,326,49,F,1,10
2015,543,8,326,56,F,1,10
2015,543,8,326,52,F,1,10
2015,543,8,326,57,F,1,10
2015,543,8,326,37,M,1,10
2015,543,8,326,59,M,1,10
2015,543,8,326,64,F,1,10
2015,543,8,326,61,F,1,10
2015,542,8,326,56,M,1,10
2015,542,8,326,48,M,1,10
2015,542,8,326,49,F,1,10
2015,543,8,326,53,F,1,10
2015,543,8,326,51,F,1,10
2015,543,8,326,47,M,1,10
2015,542,8,326,47,F,1,5
2015,542,8,326,63,F,1,5
2015,542,8,326,51,F,1,5
2015,542,8,326,45,M,1,5
2015,542,8,326,61,M,1,5
2015,542,8,326,50,M,1,5
2015,542,8,326,48,M,1,5
2015,542,8,326,45,F,1,5
2015,542,8,326,46,F,1,5
2015,542,8,326,35,M,1,5
2015,542,8,326,54,M,1,10
2015,542,8,326,68,M,1,5
2015,542,8,326,58,M,1,5
2015,542,8,326,56,M,1,5
2015,542,8,326,51,M,1,5
2015,542,8,326,60,F,1,5
2015,542,8,326,58,F,1,5
2015,542,8,326,57,F,1,5
2015,542,8,326,62,F,1,5
2015,542,8,326,53,F,1,5
2015,542,8,326,54,F,2,5
2015,543,8,326,40,F,1,10
2015,543,8,326,53,M,1,10
2015,543,8,326,52,M,1,10
2015,543,8,326,60,M,1,10
2015,543,8,326,42,F,1,10
2015,542,8,326,57,F,1,5
2015,542,8,326,67,M,1,10
2015,542,8,326,66,F,1,10
2015,543,8,326,64,M,1,10
2009,541,8,326,43,M,1,2
2009,541,8,326,42,M,1,2
2009,541,8,326,49,M,1,2
2009,541,8,326,42,F,1,2
2009,541,8,326,52,F,1,2
2009,541,8,326,55,F,2,2
2009,541,8,326,50,F,1,2
2009,541,8,326,57,F,1,2
2009,541,8,326,59,F,1,2
2009,541,8,326,46,M,1,2
2009,541,8,326,62,M,1,2
2009,541,8,326,49,F,1,2
2015,543,8,326,58,F,1,10
2015,543,8,326,59,F,1,10
2015,543,8,326,53,M,1,9
2015,543,8,326,51,F,1,9
2015,543,8,326,47,F,1,9
2015,543,8,326,33,M,1,10
2015,542,8,326,37,M,1,10
2015,542,8,326,60,M,1,10
2015,542,8,326,45,F,1,10
2015,542,8,326,44,F,1,10
2015,542,8,326,55,F,1,10
2015,542,8,326,46,F,1,10
2015,542,8,326,53,M,1,5
2015,542,8,326,47,F,1,5
2015,543,8,326,60,M,1,10
2015,542,8,326,42,F,1,10
2009,541,8,326,40,F,1,2
2012,517,1,326,78,F,1,10
2011,542,1,326,41,M,1,10
2011,542,1,326,45,M,1,10
2011,542,1,326,50,M,1,10
2011,543,1,326,55,M,1,6
2011,543,1,326,64,F,1,6
2010,541,8,326,42,M,1,10
2010,541,8,326,47,F,1,10
2010,541,8,326,46,F,1,10
2010,541,8,326,52,F,1,10
2010,541,8,326,44,M,1,10
2009,521,8,326,74,F,1,2
2009,521,8,326,76,F,1,2
2009,543,8,326,69,M,1,2
2009,543,8,326,65,F,1,2
2009,543,8,326,63,F,1,2
2009,543,8,326,73,F,1,2
2009,543,8,326,66,M,1,2
2009,543,8,326,50,M,2,2
2010,542,8,326,39,F,1,6
2010,542,8,326,41,F,2,6
2010,542,8,326,43,F,1,6
2010,542,8,326,37,F,1,6
2010,542,8,326,36,F,1,6
2010,542,8,326,35,F,1,6
2010,542,8,326,36,M,1,6
2010,542,8,326,47,M,1,6
2010,542,8,326,51,M,1,6
2010,542,8,326,56,M,1,6
2010,542,8,326,45,F,1,6
2010,542,8,326,38,F,1,10
2010,542,8,326,42,F,2,10
2010,542,8,326,45,F,1,10
2010,542,8,326,47,F,1,10
2010,542,8,326,48,F,1,10
2009,543,8,326,59,M,1,2
2009,543,8,326,61,M,1,2
2010,541,8,326,55,M,1,10
2009,543,8,326,69,M,1,2
2009,543,8,326,65,F,1,2
2009,543,8,326,69,F,1,2
2010,542,8,326,66,M,1,5
2010,542,8,326,43,M,1,5
2010,542,8,326,55,M,1,5
2010,542,8,326,72,F,1,5
2010,542,8,326,54,F,1,5
2010,542,8,326,45,F,1,5
2010,542,8,326,38,F,1,5
2010,542,8,326,44,F,1,5
2010,542,8,326,64,F,1,5
2010,542,8,326,43,F,1,5
2010,541,8,326,45,F,1,10
2010,541,8,326,62,M,1,10
2010,541,8,326,55,M,1,10
2010,542,8,326,63,M,1,5
2010,542,8,326,58,M,1,5
2010,542,8,326,44,M,1,5
2010,542,8,326,39,M,1,5
2010,542,8,326,42,M,1,5
2010,542,8,326,41,M,1,5
2010,542,8,326,47,M,1,5
2010,542,8,326,69,F,1,5
2010,542,8,326,56,F,1,5
2010,542,8,326,44,F,2,5
2010,542,8,326,41,M,1,5
2010,542,8,326,44,M,1,5
2010,542,8,326,52,M,1,5
2010,542,8,326,67,F,1,5
2010,542,8,326,61,F,1,5
2010,542,8,326,52,F,1,5
2010,542,8,326,57,F,1,5
2010,542,8,326,48,F,2,5
2010,542,8,326,45,F,1,5
2010,542,8,326,54,M,1,5
2010,542,8,326,57,M,1,5
2010,542,8,326,37,M,2,5
2010,542,8,326,51,M,1,5
2010,542,8,326,66,M,1,5
2010,542,8,326,56,F,1,5
2010,542,8,326,53,F,1,5
2010,542,8,326,55,F,1,5
2010,542,8,326,52,F,1,5
2010,542,8,326,41,F,1,5
2010,542,8,326,52,F,1,5
2010,542,8,326,50,F,1,5
2010,542,8,326,39,F,1,5
2010,542,8,326,46,F,1,5
2010,542,8,326,37,F,1,5
2010,542,8,326,44,M,2,5
2010,542,8,326,39,M,1,5
2010,542,8,326,43,M,1,5
2010,542,8,326,46,M,1,9
2010,542,8,326,64,M,1,9
2010,542,8,326,51,F,1,9
2010,542,8,326,45,M,1,10
2010,541,8,326,56,M,1,5
2010,541,8,326,54,M,1,5
2010,541,8,326,48,M,1,5
2010,541,8,326,49,M,1,5
2010,541,8,326,45,M,1,5
2010,541,8,326,66,F,1,5
2010,541,8,326,46,F,1,5
